application_id,application_date,loan_amount,interest_rate,annual_income,credit_score,employment_length,dti,num_delinquencies,previous_defaults,home_ownership,purpose,state,defaulted
2675f6d4-8f28-4b15-b8eb-cb6c1a626178,2022-02-14 13:45:35,32984.64,14.94,37968.27,712.0,19,28.35,0,0,RENT,major_purchase,GA,0
7eb07a1e-911a-4600-8a30-08863941dfdc,2023-01-22 14:47:09,30481.66,6.57,26321.0,637.0,39,25.56,1,0,OWN,small_business,IL,0
c98646f4-747d-4118-beed-0e2a94e6f37f,2023-03-29 18:34:11,31190.99,8.64,55677.79,704.0,37,10.79,0,0,RENT,major_purchase,OH,0
15c89800-1d86-43d3-902f-73a2eedd7658,2024-02-12 11:57:53,31462.32,13.09,12074.75,721.0,1,27.79,0,1,MORTGAGE,home_improvement,IL,1
bbc4de57-ca34-42c7-a1be-473f1d85cff2,2022-06-09 13:27:34,57124.71,11.6,43188.97,683.0,16,20.62,1,1,OWN,major_purchase,OH,1
c1c6851f-b09c-4fb9-97b1-33b3444cb600,2024-05-08 06:05:43,18903.77,14.29,81610.86,824.0,8,16.75,1,0,MORTGAGE,credit_card,NY,0
a9830827-270e-49cd-bd11-aa3bc09da2e3,2022-07-12 10:40:23,17316.36,7.08,74605.65,766.0,18,20.86,0,0,RENT,debt_consolidation,IL,0
bb32dc7d-6210-4de2-b0f5-3b3f3cdf8e6c,2024-11-04 23:23:24,12793.41,13.43,44130.36,751.0,5,17.79,0,0,MORTGAGE,small_business,TX,0
feef3444-7539-4619-9612-1056379e089a,2023-07-16 06:27:29,34239.69,16.37,31230.79,726.0,21,22.36,1,1,OWN,home_improvement,IL,0
1ab1f956-9bfb-4e87-9349-a973e6c63349,2024-04-19 11:13:30,41934.58,13.95,26425.87,786.0,6,19.5,0,0,OWN,car,CA,0
f52c8bf9-d5be-45c4-9000-162a210bc569,2022-02-02 06:46:55,23290.79,12.56,31211.35,594.0,24,15.3,0,0,MORTGAGE,debt_consolidation,IL,0
b66b3d34-3a8a-4067-a0b3-9154a6c39b87,2024-02-24 23:29:11,12397.65,11.62,47662.66,762.0,18,1.79,0,0,OWN,home_improvement,NC,0
ca5efd3f-e814-49f5-9dc0-5894bc321f87,2023-04-11 07:51:45,12632.78,8.66,24255.0,621.0,39,22.22,0,0,OWN,credit_card,FL,0
72e99a6e-385c-4714-9219-fdeccb5e7ef8,2023-07-04 21:34:41,34758.89,11.71,53035.24,646.0,35,15.01,0,0,MORTGAGE,car,IL,0
b5146e7d-d43c-40ce-b798-67c443c12083,2022-01-29 03:31:53,36148.81,17.04,105512.03,714.0,24,24.22,0,2,MORTGAGE,home_improvement,NC,0
f365d7d4-3aee-4e12-89a3-f908a5be1072,2023-11-11 22:40:50,33147.31,11.52,35209.05,754.0,17,21.85,1,0,RENT,major_purchase,CA,0
8dd60f1b-3e32-4008-9495-e827053c4e52,2024-10-10 11:43:10,15017.35,8.44,18542.16,611.0,28,15.22,1,0,MORTGAGE,debt_consolidation,OH,0
5900a737-362e-4eaa-aaea-cdf3b1fb13d4,2024-12-25 19:56:06,28482.42,10.03,18538.92,649.0,26,26.18,2,0,RENT,major_purchase,PA,0
c7a71628-e069-448b-bd5a-bc26ec1d25ea,2024-08-24 20:01:48,26750.29,12.8,53545.27,686.0,5,19.64,0,0,RENT,home_improvement,FL,0
223e3372-14de-4d8c-91e2-d179d073999e,2024-02-25 18:53:34,28280.33,10.51,35246.69,669.0,15,19.31,0,0,RENT,major_purchase,NY,0
0fbaee42-b4ed-493f-9502-a248b0559be3,2022-08-20 17:51:09,38071.43,13.94,56298.07,731.0,39,16.9,1,0,RENT,major_purchase,PA,0
8ed84ad5-1758-440b-a66a-8ce48107df86,2023-02-09 02:21:40,28353.93,14.09,27810.89,850.0,12,31.47,0,0,RENT,debt_consolidation,IL,0
cf95692c-0325-42ac-8654-08d0fe835fb4,2022-03-14 01:20:19,35183.7,15.56,55012.28,705.0,0,12.29,0,0,MORTGAGE,debt_consolidation,FL,0
f989194e-4b62-40b9-bf53-12c8fca70084,2022-09-04 08:03:22,26013.69,17.69,33551.96,636.0,33,15.42,1,0,OWN,debt_consolidation,OH,1
c450abd0-b608-4718-a0a0-7e5f611cc999,2022-10-02 10:42:18,29336.79,15.98,25178.56,602.0,37,8.1,1,0,OTHER,credit_card,FL,0
02607825-ec03-4502-8035-3bf2626ff618,2024-01-01 05:22:40,34469.32,8.26,29717.78,660.0,26,23.81,1,1,RENT,small_business,NC,0
f78bc445-66bc-4720-8801-08f2949e016d,2022-02-01 02:08:21,3142.66,8.39,19959.75,624.0,25,13.34,1,0,OWN,credit_card,NY,0
aeb027e1-38fd-42b4-9e31-d78804284879,2024-10-14 16:06:12,20204.93,11.7,98191.98,708.0,14,14.24,0,0,RENT,car,GA,0
abb96396-f67d-44f9-bd84-5713c4c215df,2024-03-15 14:14:58,17944.41,10.2,34606.93,707.0,14,13.86,4,1,OWN,debt_consolidation,PA,1
ee5a2735-fa2a-4ae3-8b7b-948c13f3ba96,2024-01-07 09:08:52,15416.83,7.45,50124.09,652.0,36,18.5,0,1,RENT,major_purchase,NC,1
796e89d6-dd85-4184-96a8-6cdc4426f91f,2023-09-21 09:56:44,20872.87,10.23,27765.94,799.0,34,7.99,0,0,MORTGAGE,small_business,IL,0
e491c5ae-09e1-4fae-9465-2db80116ff63,2022-10-05 18:07:45,47424.12,10.1,21461.93,636.0,19,0.05,3,0,MORTGAGE,debt_consolidation,NY,0
9f1ec931-0e4e-4c21-ae4f-389bab3f8c3d,2023-08-19 12:06:13,12012.53,9.31,32307.66,673.0,12,21.66,1,0,RENT,major_purchase,FL,0
33f360d6-f49e-4b16-982d-054cf66ce2b2,2023-11-30 02:53:02,39524.18,10.74,62981.5,718.0,7,1.09,0,0,RENT,debt_consolidation,OH,0
a69209c9-35d1-4f06-b8da-d62be6de68e9,2024-07-21 21:49:47,1000.0,16.71,27990.88,734.0,0,24.83,0,0,RENT,small_business,IL,0
7d0e2181-a0cf-4390-9dce-87754744a25d,2024-01-18 18:40:37,19976.72,12.8,23499.49,757.0,19,30.47,1,0,RENT,home_improvement,NC,0
1ab27596-7319-4c8c-af2b-b45284f8f72b,2024-06-05 04:43:53,27441.3,21.89,39251.0,706.0,22,16.69,2,0,MORTGAGE,car,TX,0
4dbadbd5-9c29-4ff9-89b0-87e635f82c6e,2023-05-16 03:24:01,33793.33,12.68,46607.25,743.0,26,28.4,1,0,OWN,major_purchase,FL,0
fa678341-2d76-427f-813c-5aa1d0fe8a82,2023-03-24 17:24:28,35668.4,10.84,82571.85,640.0,32,17.81,1,0,MORTGAGE,credit_card,MI,0
cb741cd3-7e4c-4a37-be5e-283b300362b1,2024-05-05 01:35:31,36900.21,12.02,43341.91,735.0,14,30.79,0,0,OTHER,debt_consolidation,GA,0
4eff927c-7ecb-4930-8796-51d2144f9705,2023-10-31 07:39:12,19769.12,13.03,50111.03,734.0,6,14.35,0,0,RENT,debt_consolidation,CA,0
c84aec1b-283d-42b4-83ae-eba92799fae1,2023-03-08 08:53:08,18064.72,13.74,52033.22,771.0,33,0.0,0,0,MORTGAGE,debt_consolidation,MI,0
aa8d99d8-98cd-4931-bec9-c288caf84ff1,2023-04-29 18:42:44,37869.64,20.31,20404.12,580.0,30,17.36,3,0,MORTGAGE,credit_card,IL,1
cfbf6262-16a8-4c8d-8730-b4eb4a447929,2023-09-02 08:28:54,22130.44,8.62,22434.02,626.0,21,31.66,1,0,RENT,small_business,OH,0
e0518132-7ab4-4cb2-8cf1-a0a7ec205aab,2023-11-15 06:58:29,5864.71,15.44,21121.61,729.0,1,22.28,0,0,MORTGAGE,home_improvement,CA,0
b2ae4f45-c9b1-422e-8bf1-af184e08e13f,2023-01-30 22:40:24,8000.69,12.83,18656.08,521.0,18,13.88,3,1,OWN,debt_consolidation,TX,1
51f6d785-e451-46a0-8788-1f115556eca1,2022-06-15 22:04:23,11208.22,5.72,54053.52,710.0,24,20.63,0,1,MORTGAGE,debt_consolidation,OH,0
09099829-b326-4ada-bc59-ce9dad353825,2024-09-10 16:24:58,32457.41,15.08,41983.21,744.0,34,25.77,0,0,MORTGAGE,home_improvement,NY,0
0ecc3248-f2ee-4cab-98a7-6e7b03c74301,2022-11-25 14:06:30,27136.39,17.07,37788.04,645.0,20,17.32,0,1,MORTGAGE,credit_card,TX,1
1c0f7923-268d-4e05-9fb3-8f1ba2b20275,2022-06-27 03:46:59,35357.28,8.57,9933.24,654.0,18,39.01,0,0,MORTGAGE,small_business,OH,1
b549d9ad-dfd6-4cbe-8f4a-170e7d943b50,2022-10-03 19:30:02,18591.21,11.96,101492.32,616.0,15,13.86,0,0,MORTGAGE,home_improvement,NY,0
048569a4-f0d5-4938-89cc-5d233d589b39,2024-08-09 07:45:41,27378.1,5.1,23222.2,649.0,16,26.02,0,0,RENT,debt_consolidation,NC,0
088ff6d5-f90d-4120-a413-626a8b7ca2e7,2022-07-03 09:01:59,34383.86,6.96,101306.55,650.0,0,24.1,0,0,OTHER,credit_card,TX,0
d4be99b1-55a1-4f03-a1f4-20aaafd0b8d1,2024-02-03 12:23:23,20359.8,16.19,17595.16,639.0,4,12.4,0,0,MORTGAGE,home_improvement,CA,0
16e2028f-35cc-415d-9831-fc26d890475b,2023-03-30 03:39:53,31851.63,10.13,24192.54,636.0,30,14.6,1,0,MORTGAGE,debt_consolidation,FL,0
915804cb-16ef-4fa7-a1f1-d16a7d163670,2023-10-28 04:07:13,15071.11,7.56,12071.17,664.0,14,26.14,0,1,MORTGAGE,debt_consolidation,FL,0
1e8dee89-b3e0-4948-82c9-7309fcafd3c3,2022-09-01 11:50:52,19554.19,12.92,43523.77,663.0,34,19.16,1,1,RENT,car,OH,0
8f1880a1-e36f-4dc1-828c-2c5fc8a4bdb5,2023-03-10 16:22:09,19273.93,9.91,20939.06,792.0,15,20.7,0,1,RENT,home_improvement,NY,0
304a6e66-de37-41e0-b2d0-acef91c26434,2024-05-15 21:54:37,7062.41,10.12,21236.99,656.0,39,4.91,0,0,MORTGAGE,small_business,MI,0
34be6668-1b37-49b7-9830-2d6786d9f21d,2024-12-11 23:39:52,32304.59,14.96,18283.29,701.0,7,23.25,2,1,MORTGAGE,car,IL,0
e58eb36d-e37c-47aa-932b-8791f9c37e39,2024-07-23 01:08:30,17958.96,7.35,53566.41,645.0,7,20.3,0,0,MORTGAGE,debt_consolidation,GA,0
076213fe-bd95-4f91-ae27-ca21bf8d20db,2022-11-27 18:56:34,25187.41,8.38,51830.38,645.0,23,17.49,0,0,OWN,small_business,GA,0
cdcef9b1-c16c-4421-9d50-d13d7e1b14cc,2022-09-17 18:39:51,32211.2,12.62,89860.79,578.0,32,20.89,0,0,RENT,small_business,NC,0
e407d583-ac90-4f22-aefb-55efb7037d10,2024-11-04 04:51:02,31697.97,15.88,25774.65,586.0,5,14.73,0,1,OWN,debt_consolidation,PA,1
9d2da013-fc6c-4db7-95ee-bee49d61501b,2024-01-22 23:55:24,34980.78,16.95,40514.28,608.0,20,13.26,1,0,RENT,credit_card,NY,1
334517a4-a5c1-4a57-ba42-3d35a42478ae,2022-07-31 22:35:27,23522.72,9.34,19059.72,691.0,8,16.06,0,0,MORTGAGE,debt_consolidation,PA,0
c43610aa-2861-42d7-b3f9-2f00c2373cd8,2023-12-10 13:28:43,18650.53,15.75,30714.2,745.0,29,14.29,1,2,OWN,debt_consolidation,IL,1
62200738-1096-46ee-8cfb-c5800120bf67,2022-12-18 05:57:22,23804.23,8.86,28017.3,573.0,22,35.44,1,0,RENT,credit_card,OH,1
262c46fe-27ff-4ba6-8131-55ffa5b84ee4,2022-06-21 10:28:55,1000.0,19.3,45808.5,647.0,26,25.29,0,0,OWN,credit_card,NY,1
821c818c-b958-44b6-97a9-48ddd9680f7d,2022-06-29 16:03:39,3293.31,7.46,60385.9,598.0,10,10.25,0,0,MORTGAGE,car,PA,0
109df43f-cd18-4d6a-b693-c99e252429cf,2023-02-19 04:47:36,5159.51,17.31,59607.3,664.0,11,34.29,2,0,OWN,credit_card,MI,1
bd613552-fa5f-443f-91c9-1f9cbc757c8a,2022-09-18 12:16:43,10041.3,9.37,23827.46,745.0,25,14.54,0,0,RENT,small_business,OH,0
d4170284-fe2d-4ade-8896-0acc281a5753,2024-05-09 14:24:41,30996.61,20.05,59828.29,653.0,14,18.24,1,0,OWN,debt_consolidation,MI,0
0b36d0ee-7da0-4be5-98b4-6da144bcb267,2022-06-22 00:53:31,11417.81,14.37,35523.77,677.0,27,25.18,1,0,OWN,major_purchase,TX,0
af4f4ede-b52d-417f-9740-879e9165538f,2022-07-25 00:23:36,19327.56,7.94,30874.98,767.0,6,2.24,1,0,RENT,small_business,OH,0
0f268ded-0bca-4e30-8177-78e386572289,2023-11-16 04:27:42,44488.42,9.91,25482.42,707.0,12,16.1,0,0,MORTGAGE,debt_consolidation,CA,1
117a1bdd-075e-466b-b849-7bd6add84182,2023-04-21 11:38:23,19656.04,15.12,27447.55,634.0,4,13.41,1,0,RENT,home_improvement,NY,0
2f1d67bd-2797-41db-99cb-d385f401114f,2022-08-08 16:09:58,36062.73,16.21,86782.21,690.0,3,19.64,0,0,OWN,car,NC,0
d6090b53-a1eb-4b15-8bc9-6853ec53625e,2022-03-17 16:54:40,10995.73,11.72,42349.22,630.0,10,20.96,1,0,OWN,major_purchase,TX,0
4e8deb57-b587-457e-9632-756527e433de,2022-04-04 05:16:22,21918.44,12.18,39628.58,705.0,19,17.38,0,0,OWN,small_business,IL,0
7c869f27-e5ac-407d-8696-613f22042d0c,2022-11-16 00:33:08,10749.67,15.03,31852.67,711.0,5,17.01,2,0,OWN,home_improvement,CA,0
23241b44-3d22-4754-9a07-4f37a76a851f,2022-10-19 17:32:12,19914.5,12.53,123375.68,598.0,3,26.52,0,0,MORTGAGE,credit_card,NY,0
16789bf4-1eee-478a-a464-53ed5a51dd9d,2023-09-28 20:01:14,37604.62,6.83,69738.32,691.0,35,20.41,0,1,RENT,home_improvement,TX,0
f6319675-20bf-4159-bbd6-9d0c4ec70cbc,2024-01-13 20:21:13,1000.0,8.75,25323.01,673.0,20,18.33,0,0,RENT,home_improvement,IL,0
de3602ba-2b02-42cc-99d7-0b07577895eb,2022-07-01 08:31:50,31516.35,12.94,31672.13,713.0,28,19.18,2,0,MORTGAGE,car,OH,0
973a99d0-b544-40bc-a62f-082c246aa58a,2023-04-15 08:25:50,28566.03,16.86,32626.42,730.0,29,32.69,0,0,MORTGAGE,home_improvement,OH,0
25eaf24f-2b58-46f9-ba51-d9a103d512e1,2023-05-26 16:20:34,16087.75,18.46,39063.19,709.0,4,19.38,1,0,RENT,major_purchase,MI,0
8d34ed98-bb63-4886-be18-4d1bdf12d542,2022-06-20 23:50:04,3309.13,15.12,25575.42,662.0,24,13.88,1,0,RENT,major_purchase,TX,0
774fc100-0cbb-4ac5-a44c-c8cf3cf275ad,2023-06-20 03:21:45,26081.94,13.15,45225.13,736.0,34,2.73,0,1,MORTGAGE,home_improvement,IL,0
2499c106-4b8a-46da-96be-c85e863c9000,2022-03-11 11:28:15,17057.61,15.0,75060.07,628.0,17,6.53,2,0,RENT,home_improvement,PA,0
6ec61bba-332c-4937-9934-e01681fc2248,2022-12-08 06:13:17,28490.14,9.33,18829.61,601.0,34,14.26,1,0,OTHER,car,CA,0
1c7210ee-dd22-4e07-bd15-2b70ccbd02ed,2024-03-09 15:26:30,25327.78,11.39,20659.42,488.0,37,17.13,0,0,MORTGAGE,credit_card,TX,0
36385186-34b0-4389-a728-c3d728a918f3,2022-09-25 21:55:46,49026.68,8.7,28521.71,676.0,21,13.56,0,0,RENT,home_improvement,FL,0
18ae2831-e2b7-48d1-85ef-c03f2804e381,2024-02-11 00:00:07,21409.67,7.01,29190.61,631.0,4,20.81,0,0,RENT,small_business,NC,0
04207c76-1c56-461c-ad47-739546e094e9,2022-04-27 20:27:28,9647.54,13.33,98640.08,704.0,24,13.45,1,0,OTHER,debt_consolidation,PA,0
fa257604-fc23-4fcc-9a60-715febee0578,2023-05-21 08:52:10,27689.13,12.74,59925.33,562.0,35,10.68,0,0,RENT,small_business,PA,0
033720b4-b5fb-4a84-afcb-a3a51dd0d85d,2024-09-14 19:08:09,28299.95,14.75,58230.3,641.0,23,22.9,0,0,OWN,small_business,PA,0
92cd7a28-4a20-43ba-99ae-6b85aadf8241,2023-08-01 21:14:36,45387.81,14.18,31818.95,708.0,32,28.96,2,1,RENT,home_improvement,NC,0
bcf5f866-8f57-42ad-89ff-d1d88f684d54,2024-06-13 00:28:49,37526.67,12.97,31471.68,618.0,21,9.14,0,0,OWN,major_purchase,PA,0
ea19a036-51be-4177-8861-e23848f3fecd,2022-09-21 08:09:08,30353.07,14.23,17573.5,705.0,16,19.95,1,0,MORTGAGE,home_improvement,GA,0
5faaf4be-8c31-4ddd-876e-b72f9efa2438,2022-07-23 04:39:19,46949.54,11.83,53683.99,647.0,37,2.76,1,0,MORTGAGE,major_purchase,FL,0
25e88aaf-9cdb-4373-ae2a-b23f70f0cd05,2023-06-16 10:39:06,7168.55,13.65,46421.93,678.0,6,6.2,1,0,RENT,debt_consolidation,NC,0
6d2c5e87-afba-40a9-8bc3-997455a82825,2022-09-29 10:36:35,15403.73,9.1,69078.49,716.0,17,13.29,0,0,OWN,major_purchase,CA,0
3b490c91-13c4-497a-8d21-0360911479c0,2024-03-08 19:46:54,11101.36,13.48,32682.18,737.0,6,27.08,0,0,MORTGAGE,home_improvement,FL,1
832bafee-6ada-450d-913a-248698bb3bd9,2023-01-21 08:58:11,19152.85,14.67,33830.24,686.0,26,11.77,0,0,RENT,debt_consolidation,NY,0
02fd2465-efc1-4399-a6b3-e7a3e5e98ff7,2024-04-24 19:52:37,4349.71,9.32,39538.21,631.0,36,11.47,0,1,MORTGAGE,small_business,TX,0
758dc6b3-bf6a-4d76-9973-fc4af503007e,2022-02-08 08:53:37,34527.26,12.21,56723.78,653.0,39,18.29,1,0,OWN,debt_consolidation,PA,0
9c13e48d-4019-4385-b4f0-eb1c7ac5a8d6,2023-01-08 20:12:18,21666.66,9.51,17411.6,718.0,9,18.3,0,0,RENT,major_purchase,NC,0
c8c3a282-9244-4393-a1d5-d7c1c6e97f1f,2022-09-23 22:27:25,2937.91,9.89,52471.64,619.0,29,11.72,0,0,MORTGAGE,car,TX,0
ba7d980b-7abe-461e-ae03-ddcb3005c8b1,2024-01-14 08:11:33,9766.31,7.5,35945.25,669.0,34,33.89,0,0,OWN,car,NC,0
a94deb96-cf52-40cd-b84f-6be8b3e3fa0a,2022-08-14 13:42:10,29702.71,17.06,21390.05,657.0,33,15.88,0,0,RENT,major_purchase,NC,0
78238e67-364b-4c58-9f83-57536449a51b,2023-06-17 16:48:38,37571.9,16.26,12806.36,674.0,20,18.91,0,0,RENT,small_business,NC,1
3ee2c62e-931f-4a62-82f9-66d5a0d5556d,2023-01-30 10:58:49,54950.96,14.15,33920.1,619.0,6,14.79,2,0,RENT,major_purchase,CA,1
c20b9926-0c70-44e4-9a5e-5db70ca18cc5,2024-03-20 13:44:42,68707.94,19.89,74896.05,569.0,18,21.52,1,0,RENT,small_business,MI,1
9c766cca-9f81-409e-bb99-459eea4fb452,2023-02-10 03:24:43,31216.14,11.24,83896.76,711.0,31,27.88,0,0,RENT,car,IL,0
cf20ed14-d3ee-4c60-af9b-d49e1086097b,2024-01-27 09:42:55,10156.93,24.13,43377.15,738.0,24,31.31,2,0,MORTGAGE,home_improvement,PA,0
f9c97b93-4ae3-4751-8b1e-fe4779cb2b00,2022-04-08 18:22:58,1000.0,11.09,96858.15,572.0,15,11.9,0,0,MORTGAGE,home_improvement,FL,0
75b46989-79d3-461d-a658-727ac9fe3946,2024-04-01 15:22:26,29015.67,13.02,35544.1,702.0,8,26.81,0,1,RENT,credit_card,PA,0
be253fcf-bfad-4d2e-82e4-fa8782e1b761,2023-12-01 14:14:20,12805.88,10.41,58492.38,745.0,26,22.4,0,2,MORTGAGE,car,PA,0
4664cb86-22d1-45e3-8ced-8e402985d1ed,2022-06-30 13:08:06,18769.64,13.49,28980.68,716.0,17,25.8,1,0,MORTGAGE,car,GA,0
3c5f9fd4-8184-4aea-b16e-a6c9ab1f0a0f,2022-04-30 02:24:20,15818.55,15.34,28076.85,655.0,18,17.26,2,0,OWN,small_business,FL,1
07fb53e2-3c0f-4dc3-8001-48dc4cf8e3ef,2022-12-19 17:22:05,22888.14,11.54,25880.51,623.0,37,16.5,2,0,OTHER,major_purchase,TX,0
23ddc2b4-b0e1-4556-93e2-47b15fd8d8aa,2024-12-17 20:50:58,40989.7,19.11,12961.46,685.0,0,25.49,0,0,RENT,credit_card,PA,1
54edc6bc-3de1-483b-835a-04d0378a1a19,2022-10-18 03:46:22,27355.73,12.96,69116.32,695.0,9,25.64,2,0,RENT,car,GA,0
f6b78e8b-524b-4728-a152-da2365553d31,2023-06-04 18:09:37,22620.48,13.08,26348.95,686.0,36,30.53,1,1,RENT,debt_consolidation,CA,0
17fdea58-53a9-49ae-804e-c0cb6dd07530,2023-05-05 12:58:10,9465.19,8.36,24325.5,669.0,36,19.59,1,0,RENT,major_purchase,NC,0
588f8a79-7d94-433e-86b6-a61c6a9d1e53,2022-11-20 00:07:05,1000.0,13.67,20130.96,615.0,12,17.14,0,0,OWN,credit_card,NC,1
82abe8d4-2419-4cad-afa4-9e53689cd55d,2023-05-25 01:53:57,17705.38,11.46,32788.08,705.0,39,0.0,1,0,RENT,home_improvement,PA,0
38d659eb-46e3-424b-b2e6-05a6abf86b4c,2022-07-12 04:23:39,24193.26,9.57,87706.05,708.0,8,5.11,0,0,OWN,debt_consolidation,MI,0
e64d749c-387e-4963-9d4c-74604bf58ab8,2024-01-01 16:49:59,51518.95,8.89,103454.73,692.0,2,14.85,0,0,MORTGAGE,debt_consolidation,FL,0
cf80ab76-b912-4ede-8fd1-3bdce23a8d10,2022-06-25 03:46:12,26954.12,22.69,15828.49,687.0,12,9.19,0,0,MORTGAGE,home_improvement,TX,0
4b576180-0bd1-4f98-b25c-8a566954e79c,2023-09-16 17:16:31,39741.09,10.95,30417.58,781.0,21,24.51,1,0,MORTGAGE,home_improvement,OH,0
388fa47d-c3be-42ad-b1ea-896fb9ba9294,2022-12-15 06:09:51,17510.57,6.17,21651.31,643.0,0,7.52,1,0,MORTGAGE,car,OH,0
df92d843-4f35-4f3b-8906-5dbc6270b92f,2023-09-27 23:06:41,7225.84,9.21,59526.02,757.0,6,13.99,1,0,MORTGAGE,major_purchase,MI,0
f2ec12b4-56c6-43de-8989-6a8640bafb3d,2023-08-23 23:07:23,10523.25,11.79,41910.71,636.0,31,14.3,0,0,OWN,debt_consolidation,NY,0
1f130d8d-ff02-4146-99ee-9ca32aa3c335,2023-11-25 02:50:29,14121.61,14.19,26415.74,747.0,24,27.64,2,1,RENT,car,TX,1
e0b1349b-c246-45dc-a7d1-6ab85006e784,2023-10-25 21:28:46,56927.05,14.22,37657.47,754.0,24,13.13,0,0,RENT,major_purchase,OH,0
38b67b1f-6b18-4a35-8570-27937a7dfec5,2022-10-26 19:32:29,12679.2,14.71,28603.68,662.0,39,21.62,0,0,RENT,small_business,FL,0
